epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,25884,0.88984,0.51123,0.00956,0.98034,0.97477,0.98911,0.79337,0.80035,0.25894,0.01274,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,26132.4,0.88708,0.50299,0.00952,0.97579,0.98044,0.98892,0.79258,0.80015,0.25843,0.01274,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,26381.4,0.88203,0.501,0.00955,0.9717,0.98223,0.9889,0.79316,0.80003,0.25947,0.01274,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,26632.1,0.88024,0.50811,0.00947,0.97141,0.98191,0.98904,0.79323,0.79968,0.25914,0.01273,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,26881.9,0.88033,0.50627,0.00949,0.97081,0.98266,0.989,0.7932,0.7993,0.25949,0.01273,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,27155.5,0.88154,0.50582,0.00954,0.97298,0.98077,0.98908,0.79386,0.79886,0.25942,0.01273,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,27422.6,0.87485,0.50196,0.00941,0.97349,0.98005,0.98914,0.79379,0.79878,0.25875,0.01272,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,27685.9,0.88048,0.50407,0.00949,0.97549,0.97954,0.98916,0.79382,0.79831,0.25781,0.01272,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,27958.7,0.87896,0.50427,0.00947,0.97179,0.98175,0.98894,0.79394,0.79792,0.25984,0.01271,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,28227.7,0.8756,0.49914,0.00944,0.97403,0.98153,0.98907,0.79397,0.79761,0.25861,0.01271,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
